Id,Coordinates,Stop Sign,Yield,Pcross,Number of lanes,Parking,Max Speed
1,"{(32.073022293997525, 34.77585141307725), (32.07300865702329, 34.775882929031724), (32.07351320228871, 34.77615241653425), (32.07349729257065, 34.776182591384284)}",0,0,"(0,0)",1,0,50
2,"{(32.07320856566603, 34.775412595649726),(32.07318811024558, 34.7753971729486),(32.07302048926671, 34.77585180735568),(32.072997760974744, 34.775835714102335)}",0,0,"(0,1)",1,1,50
3,"{(32.07300865702329, 34.775882929031724),(32.07298236659244, 34.77586664742901),(32.0728529148951, 34.776257146530796),(32.07282961835306, 34.77623300665078),(32.072806321805075, 34.77628530972416),(32.072798935093495, 34.77625044100857),(32.07274836451359, 34.77629402690305),(32.07275006914035, 34.776257146530796),(32.072719385854086, 34.7762866508286),(32.072726204363036, 34.77625245266524),(32.07177014177212, 34.77586667356617),(32.071783919008006, 34.77582927888141)}",0,1,"(1,0)",1,0,50
4,"{(32.07199570705623, 34.77516334340594),(32.071977483107474, 34.77521232972175),(32.072997760974744, 34.775835714102335),(32.07298236659244, 34.77586664742901)}",0,0,"(1,1)",1,0,50
5,"{(32.072436193500856, 34.77425499293783),(32.07240305360601, 34.774208641806595),(32.07223367173375, 34.77459248711208),(32.072193167326496, 34.77456062070936),(32.07199570705623, 34.77516334340594),(32.07195505014535, 34.775134215958325)}",1,0,"(1,1)",1,0,50
6,"{(32.071977483107474, 34.77521232972175),(32.07194162934432, 34.77518470940088),(32.071783919008006, 34.77582927888141),(32.071750107835804, 34.77581203470584)}",0,0,"(1,0)",1,0,50
7,"{(32.07177014177212, 34.77586667356617),(32.071741568514256, 34.775852484123604),(32.07153487651756, 34.77655239591989),(32.07150249992172, 34.77654264078474)}",1,0,"(0,1)",1,0,50
8,"{(32.07199931430021, 34.77676978484087),(32.07201450092079, 34.77672199331325),(32.07152751536446, 34.776597735341454),(32.07153487651756, 34.77655239591989)}",0,0,"(0,1)",1,0,50
9,"{(32.0730305646692, 34.777057818335024),(32.07305054138523, 34.77702286243405),(32.072038741054335, 34.77677492723958),(32.072046696040616, 34.77674072907622)}",0,0,"(0,0)",1,0,50
10,"{(32.071784961135705, 34.77747929276649),(32.07181280366193, 34.77749002160206),(32.07199931430021, 34.77676978484087),(32.072038741054335, 34.77677492723958)}",0,1,"(0,1)",1,0,50
11,"{(32.07181280366193, 34.77749002160206),(32.071804538877004, 34.777519961308485),(32.07257920011382, 34.77769079654667),(32.07257408622394, 34.77772164194892),(32.07267409112979, 34.777735723545604),(32.07266102231307, 34.77776321618674)}",0,0,"(1,0)",1,0,50
12,"{(32.071596666082414, 34.77819762651525),(32.07162564509774, 34.77820701424637),(32.07177584552065, 34.77751092134244),(32.071804538877004, 34.777519961308485)}",0,0,"(1,0)",1,0,50
13,"{(32.07162564509774, 34.77820701424637),(32.071617723892025, 34.77823951111198),(32.07227864653885, 34.778423229584185),(32.072266145877535, 34.778456086643104),(32.07234796835693, 34.77847754431423),(32.07233489949362, 34.77851040137315)}",0,0,"(0,0)",1,0,50
14,"{(32.07114801277135, 34.77806667774945),(32.0711406259258, 34.77810020536059),(32.071596666082414, 34.77819762651525),(32.071590676001165, 34.77823237343761)}",0,0,"(0,0)",1,0,50
15,"{(32.07152751536446, 34.776597735341454),(32.071492851995096, 34.77657833883543),(32.07114801277135, 34.77806667774945),(32.07111911960482, 34.77805819048023)}",1,0,"(1,1)",1,0,50
16,"{(32.071492851995096, 34.77657833883543),(32.07150249992172, 34.77654264078474),(32.071097310284586, 34.77648398415574),(32.071111507515724, 34.77644259173999)}",0,0,"(1,1)",1,0,50
17,"{(32.071646993065485, 34.77493025641977),(32.0716356287495, 34.7749631134787),(32.07195505014535, 34.775134215958325),(32.07194162934432, 34.77518470940088)}",0,0,"(1,1)",1,0,50
18,"{(32.07162022656227, 34.77491314427799),(32.071646993065485, 34.77493025641977),(32.072071918067216, 34.77371522166664),(32.07209351016336, 34.77374271430777)}",0,0,"(1,1)",1,0,50
19,"{(32.07107561827784, 34.776437765131405),(32.071111507515724, 34.77644259173999),(32.071609318299394, 34.77494537049808),(32.0716356287495, 34.7749631134787)}",0,0,"(1,0)",1,0,50
20,"{(32.07065899380911, 34.77792993362818),(32.07070136831374, 34.777930875603296),(32.071064823765774, 34.77647066671088),(32.071097310284586, 34.77648398415574)}",1,0,"(1,1)",1,0,50
21,"{(32.07070136831374, 34.777930875603296),(32.07068013015284, 34.77797263243132),(32.07111911960482, 34.77805819048023),(32.071112117169406, 34.7780922298722)}",0,0,"(1,0)",1,0,50
22,"{(32.07051616616955, 34.77862113306191),(32.070545145527326, 34.77862985024081),(32.07065024823806, 34.77796357414761),(32.07068013015284, 34.77797263243132)}",1,0,"(0,1)",1,0,50
23,"{(32.07026287688326, 34.77780412814736),(32.07025492174179, 34.77783698520628),(32.07065899380911, 34.77792993362818),(32.07065024823806, 34.77796357414761)}",0,1,"(0,1)",1,0,50
24,"{(32.07023446566058, 34.77779541096846),(32.07026287688326, 34.77780412814736),(32.07064445497979, 34.77635286146895),(32.07067601519943, 34.7763687323769)}",1,0,"(1,1)",1,0,50
25,"{(32.071064823765774, 34.77647066671088),(32.07107561827784, 34.776437765131405),(32.07067601519943, 34.7763687323769),(32.07068854222591, 34.776326354427454)}",0,0,"(1,1)",1,0,50
26,"{(32.07065297830933, 34.776319333856264),(32.07068854222591, 34.776326354427454),(32.07080259222817, 34.77576282828749),(32.07083178765031, 34.77577229130535)}",0,0,"(1,0)",1,0,50
27,"{(32.07081133169815, 34.77573272872421),(32.070839742741626, 34.77574278700753),(32.07092714628304, 34.775271842611204),(32.07097260389074, 34.77529330028234),(32.07113568845208, 34.774625221497764),(32.07116574484363, 34.77465321269033)}",0,0,"(0,1)",1,0,50
28,"{(32.0706135611877, 34.775644131610825),(32.070583183892374, 34.775683052163906),(32.07081133169815, 34.77573272872421),(32.07080259222817, 34.77576282828749)}",0,0,"(0,0)",1,1,50
29,"{(32.071171887358055, 34.77460991815842),(32.07116574484363, 34.77465321269033),(32.07162022656227, 34.77491314427799),(32.071609318299394, 34.77494537049808)}",1,0,"(0,1)",1,0,50
30,"{(32.07114648461134, 34.774593034989586),(32.071171887358055, 34.77460991815842),(32.07158893759679, 34.77322132784151),(32.07161507553481, 34.77323339778152),(32.07161734839862, 34.77310398120251),(32.071639508817945, 34.77313415605254)}",0,0,"(1,0)",1,0,50
31,"{(32.069825390275824, 34.77347032430159),(32.07001748722836, 34.77259102792672),(32.070272036132984, 34.77145795957743),(32.07029931089571, 34.77147070006966),(32.070350451053926, 34.77131244974508),(32.07036863421438, 34.77134329514733)}",0,0,"(1,0)",1,0,50
32,"{(32.07046100306998, 34.77368202049053),(32.070432591908855, 34.773675314968),(32.07036162429998, 34.77424090080378),(32.07033207666012, 34.77423486583349)}",0,0,"(0,0)",1,0,50
33,"{(32.07036162429998, 34.77424090080378),(32.07035480561472, 34.774275098968715),(32.07085953362553, 34.77441265643332),(32.07087146625855, 34.77445557177756),(32.07114648461134, 34.774593034989586),(32.07113568845208, 34.774625221497764)}",0,0,"(1,1)",1,0,50
34,"{(32.07035480561472, 34.774275098968715),(32.07032487741636, 34.77426687994018),(32.069926127688255, 34.77609417310435),(32.06989657990767, 34.77608679702955)}",1,0,"(1,1)",1,0,50
35,"{(32.07022773547085, 34.776215471565955),(32.07023625883922, 34.77618194395326),(32.069918326847464, 34.77612768317191),(32.069926127688255, 34.77609417310435)}",0,0,"(0,1)",1,0,50
36,"{(32.07064445497979, 34.77635286146895),(32.07065297830933, 34.776319333856264),(32.070256634470724, 34.77622397229107),(32.07026572606071, 34.776190444678384)}",0,0,"(1,0)",1,0,50
37,"{(32.070256634470724, 34.77622397229107),(32.07022773547085, 34.776215471565955),(32.07002520743431, 34.77702589866024),(32.069997364363815, 34.77701651092869)}",0,0,"(1,0)",1,0,50
38,"{(32.0700161158196, 34.77705808516844),(32.06998770452026, 34.77704936798914),(32.06985156672407, 34.77767686120653),(32.069822600596304, 34.777668646158155)}",1,0,"(0,1)",1,0,50
39,"{(32.06985156672407, 34.77767686120653),(32.069841338638916, 34.77771105937147),(32.07023414906051, 34.77779460783912),(32.070226193916554, 34.7778267943473)}",0,0,"(1,0)",1,0,50
40,"{(32.069841338638916, 34.77771105937147),(32.069812978662796, 34.777702002270196),(32.06967641404179, 34.77834675965769),(32.0696474344087, 34.77833804247839)}",0,0,"(1,0)",1,0,50
41,"{(32.068387523787436, 34.77722568075073),(32.06838070495498, 34.77725987891567),(32.069822600596304, 34.777668646158155),(32.069812978662796, 34.777702002270196)}",0,0,"(1,1)",1,0,50
42,"{(32.069594223080884, 34.776887998351974),(32.06958569965267, 34.77692152596466),(32.069997364363815, 34.77701651092869),(32.06998770452026, 34.77704936798914)}",0,0,"(0,1)",1,0,50
43,"{(32.06907363211785, 34.776705967009626),(32.06906681333655, 34.77673949462231),(32.06956838835706, 34.77687949388829),(32.069559864926454, 34.77691235094873)}",0,0,"(0,0)",1,0,50
44,"{(32.069888871096225, 34.77612064593176),(32.06989657990767, 34.77608679702955),(32.069257079266805, 34.77597921996459),(32.06926389803394, 34.775945692351904)}",0,0,"(0,0)",1,0,50
45,"{(32.06923435003853, 34.775939657381606),(32.06926389803394, 34.775945692351904),(32.069796978917225, 34.77346093657004),(32.069825390275824, 34.77347032430159)}",1,0,"(1,1)",1,0,50
46,"{(32.06983279452957, 34.773436457176814),(32.069825390275824, 34.77347032430159),(32.07044019404002, 34.77364131297306),(32.070432591908855, 34.773675314968)}",0,0,"(1,1)",1,0,50
47,"{(32.069804016794656, 34.77342715453357),(32.06983279452957, 34.773436457176814),(32.06998113072358, 34.77261672790211),(32.07000954202496, 34.77262343342465)}",0,0,"(1,1)",1,0,50
48,"{(32.06998908588953, 34.772583200289425),(32.07001749718846, 34.77259124691647),(32.070273613789524, 34.77145462020155),(32.07029975210353, 34.77147004290339),(32.07035032403855, 34.771312463123756),(32.07036964364646, 34.77134196742292)}",0,0,"(0,0)",1,0,50
49,"{(32.06998113072358, 34.77261672790211),(32.06998908588953, 34.772583200289425),(32.0694638842109, 34.772450520779095),(32.06947127119189, 34.772416993166416)}",1,0,"(1,1)",1,0,50
50,"{(32.069907386919034, 34.770590709816766),(32.06988636253336, 34.77055852330858),(32.06947127119189, 34.772416993166416),(32.069443405253224, 34.77241105938696)}",0,0,"(0,1)",1,0,50
51,"{(32.0694638842109, 34.772450520779095),(32.06943545003993, 34.772443245895154),(32.06928323644134, 34.773279335870484),(32.06925425668368, 34.77326994813893)}",1,0,"(0,1)",1,0,50
52,"{(32.06928323644134, 34.773279335870484),(32.06927471298405, 34.77331219293093),(32.069804016794656, 34.77342715453357),(32.069796978917225, 34.77346093657004)}",0,0,"(1,1)",1,0,50
53,"{(32.06927471298405, 34.77331219293093),(32.069246301454356, 34.77330414630389),(32.06910736881618, 34.773981943470645),(32.06907895723448, 34.77397255573909)}",0,0,"(0,0)",1,0,50
54,"{(32.06909998180514, 34.774014129978816),(32.06907213845294, 34.77400541279952),(32.068727744638224, 34.77580398190273),(32.06870160587487, 34.775796605827956)}",0,0,"(1,1)",1,0,50
55,"{(32.069228126863486, 34.77597302111908),(32.06923435003853, 34.775939657381606),(32.06872211132977, 34.77583792027267),(32.068727744638224, 34.77580398190273)}",1,0,"(0,1)",1,0,50
56,"{(32.06872211132977, 34.77583792027267),(32.06869369962838, 34.77583054419789),(32.06854486730816, 34.776529325694405),(32.06851588731649, 34.77651993796285)}",0,0,"(0,1)",1,0,50
57,"{(32.06854486730816, 34.776529325694405),(32.0685363437814, 34.77656218275478),(32.06904840981105, 34.77669681477225),(32.06904107141253, 34.77673081433413)}",0,0,"(1,0)",1,0,50
58,"{(32.0685363437814, 34.77656218275478),(32.068507964767335, 34.7765544193382),(32.068387523787436, 34.77722568075073),(32.06835877984426, 34.77721733068772)}",0,0,"(0,1)",1,0,50
59,"{(32.06838070495498, 34.77725987891567),(32.06835082453629, 34.777250858300405),(32.0682269489492, 34.7779187283451),(32.068197968856786, 34.77790934061355)}",0,0,"(0,0)",1,0,50
60,"{(32.06904840981105, 34.77669681477225),(32.06907363211785, 34.776705967009626),(32.06910605035693, 34.77638211783258),(32.06913162077327, 34.77638815280287)}",0,0,"(0,0)",1,1,50
61,"{(32.06956838835706, 34.77687949388829),(32.069594223080884, 34.776887998351974),(32.06967623255937, 34.77651487492415),(32.069698961676984, 34.77653029762598)}",0,0,"(0,0)",1,1,50