Id,Coordinates,GoesTo,TrafficLights,NumOfTrafficLights
1,"{(32.072997760974744, 34.775835714102335),(32.07298236659244, 34.77586664742901),(32.07300865702329, 34.775882929031724),(32.073022293997525, 34.77585141307725)}","{4,(3.0,2.0,1.0)}",{},0
2,"{(32.07195505014535, 34.775134215958325),(32.07194162934432, 34.77518470940088),(32.071977483107474, 34.77521232972175),(32.07199570705623, 34.77516334340594)}","{5,(4.0,6.0)}, {17,(4.0,6.0)}",{},0
3,"{(32.071783919008006, 34.77582927888141),(32.071750107835804, 34.77581203470584),(32.071741568514256, 34.775852484123604),(32.07177014177212, 34.77586667356617)}","{6,(7.0)},{3,(7.0)}",{},0
4,"{(32.07199931430021, 34.77676978484087),(32.07201450092079, 34.77672199331325),(32.072046696040616, 34.77674072907622),(32.072038741054335, 34.77677492723958)}","{9,(8.0)},{10,(8.0)}",{},0
5,"{(32.07177584552065, 34.77751092134244),(32.071804538877004, 34.777519961308485),(32.07181280366193, 34.77749002160206),(32.071784961135705, 34.77747929276649)}","{12,(10.0,11.0)}",{},0
6,"{(32.071596666082414, 34.77819762651525),(32.071590676001165, 34.77823237343761),(32.071617723892025, 34.77823951111198),(32.07162564509774, 34.77820701424637)}","{14,(12.0,13.0)}",{},0
7,"{(32.07111911960482, 34.77805819048023),(32.071112117169406, 34.7780922298722),(32.0711406259258, 34.77810020536059),(32.07114801277135, 34.77806667774945)}","{21,(14.0)},{15,(14.0)}",{},0
8,"{(32.07153487651756, 34.77655239591989),(32.07150249992172, 34.77654264078474),(32.071492851995096, 34.77657833883543),(32.07152751536446, 34.776597735341454)}","{7,(15.0,16.0)},{8,(15.0,16.0)}","{(32.071528414866926, 34.77657073800688), (8.0)},{(32.07151875518588, 34.77654995088741), (7.0)}",2
9,"{(32.07065024823806, 34.77796357414761),(32.07068013015284, 34.77797263243132),(32.07070136831374, 34.777930875603296),(32.07065899380911, 34.77792993362818)}","{23,(21.0,20.0)},{22,(21.0,20.0)}","{(32.0706651510477, 34.77796748613397),(22.0)},{(32.07065378660883, 34.777945357910546),(23.0)}",2
10,"{(32.071064823765774, 34.77647066671088),(32.071097310284586, 34.77648398415574),(32.071111507515724, 34.77644259173999),(32.07107561827784, 34.776437765131405)}","{20,(19.0,25.0)},{16,(19.0,25.0)}","{(32.07110029857621, 34.776462066269936),(16.0)},{(32.07107813802623, 34.776476147867),(20.0)}",2
11,"{(32.071609318299394, 34.77494537049808),(32.0716356287495, 34.7749631134787),(32.071646993065485, 34.77493025641977),(32.07162022656227, 34.77491314427799)}","{19,(17.0,18.0)},{29,(17.0,18.0)}","{(32.0716155131348, 34.77492832183643),(29.0)},{(32.07162233172607, 34.774953132269346),(19.0)}",2
12,"{(32.071171887358055, 34.77460991815842),(32.07116574484363, 34.77465321269033),(32.07113568845208, 34.774625221497764),(32.07114648461134, 34.774593034989586)}","{27,(29.0,30.0)},{33,(29.0,30.0)}","{(32.07114152805126, 34.77460830056291),(33.0)},{(32.07114891489671, 34.774639145966),(27.0)}",2
13,"{(32.07083178765031, 34.77577229130535), (32.07080259222817, 34.77576282828749),(32.07081133169815, 34.77573272872421),(32.070839742741626, 34.77574278700753)}","{26,(27.0,28.0)},{28,(27.0)}",{},0
14,"{(32.07067601519943, 34.7763687323769),(32.07064445497979, 34.77635286146895),(32.07065297830933, 34.776319333856264),(32.07068854222591, 34.776326354427454)}","{24,(26.0,36.0)},{25,(26.0,36.0)}","{(32.07067769784033, 34.77634497138649),(25.0)},{(32.070657810075616, 34.776359723535805),(24.0)}",2
15,"{(32.07023446566058, 34.77779541096846),(32.07026287688326, 34.77780412814736),(32.07025492174179, 34.77783698520628),(32.070226193916554, 34.7778267943473)}","{39,(23.0,24.0)}",{},0
16,"{(32.069841338638916, 34.77771105937147),(32.069812978662796, 34.777702002270196),(32.069822600596304, 34.777668646158155),(32.06985156672407, 34.77767686120653)}","{41,(40.0,39.0)},{38,(39.0,40.0)}","{(32.069834604883866, 34.77767675444316),(38.0)},{(32.06981764905569, 34.777684607536),(41.0)}",2
17,"{(32.0700161158196, 34.77705808516844),(32.06998770452026, 34.77704936798914),(32.069997364363815, 34.77701651092869),(32.07002520743431, 34.77702589866024)}","{42,(38.0)},{37,(38.0)}",{},0
18,"{(32.070256634470724, 34.77622397229107),(32.07022773547085, 34.776215471565955),(32.07023625883922, 34.77618194395326),(32.07026572606071, 34.776190444678384)}","{36,(37.0,35.0)}",{},0
19,"{(32.069888871096225, 34.77612064593176),(32.06989657990767, 34.77608679702955),(32.069926127688255, 34.77609417310435),(32.069918326847464, 34.77612768317191)}","{35,(44.0)},{34,(44.0)}",{},0
20,"{(32.07035480561472, 34.774275098968715),(32.07032487741636, 34.77426687994018),(32.07033207666012, 34.77423486583349),(32.07036162429998, 34.77424090080378)}","{32,(34.0,33.0)}",{},0
21,"{(32.07114648461134, 34.774593034989586),(32.071171887358055, 34.77460991815842),(32.071171887358055, 34.77460991815842),(32.07116574484363, 34.77465321269033)}","{46,(32.0,31.0)}",{},0
22,"{(32.069796978917225, 34.77346093657004),(32.069825390275824, 34.77347032430159),(32.06983279452957, 34.773436457176814),(32.069804016794656, 34.77342715453357)}","{45,(46.0,47.0)},{52,(46.0,47.0)}","{(32.069809461611456, 34.77346825945131),(45.0)},{(32.069799801748715, 34.773445460675454),(52.0)}",2
23,"{(32.069257079266805, 34.77597921996459),(32.06926389803394, 34.775945692351904),(32.06923435003853, 34.775939657381606),(32.069228126863486, 34.77597302111908)}","{44,(45.0,55.0)}",{},0
24,"{(32.06904840981105, 34.77669681477225),(32.06904107141253, 34.77673081433413),(32.06906681333655, 34.77673949462231),(32.06907363211785, 34.776705967009626)}","{57,(60.0,43.0)}",{},0
25,"{(32.06956838835706, 34.77687949388829),(32.069559864926454, 34.77691235094873),(32.06958569965267, 34.77692152596466),(32.069594223080884, 34.776887998351974)}","{43,(42.0,61.0)}",{},0
26,"{(32.0694638842109, 34.772450520779095),(32.06943545003993, 34.772443245895154),(32.069246301454356, 34.77330414630389),(32.06927471298405, 34.77331219293093)}","{51,(52.0,53.0)}",{},0
27,"{(32.06909998180514, 34.774014129978816),(32.06907213845294, 34.77400541279952),(32.06907895723448, 34.77397255573909),(32.06910736881618, 34.773981943470645)}","{53,(54.0)}",{},0
28,"{(32.068727744638224, 34.77580398190273),(32.06870160587487, 34.775796605827956),(32.06923435003853, 34.775939657381606),(32.069228126863486, 34.77597302111908)}","{56,(57.0)},{56,(58.0)}",{},0
29,"{(32.06854486730816, 34.776529325694405),(32.06851588731649, 34.77651993796285),(32.068507964767335, 34.7765544193382),(32.0685363437814, 34.77656218275478)}","{56,(57.0,58.0)}",{},0
30,"{(32.068387523787436, 34.77722568075073),(32.06835877984426, 34.77721733068772),(32.06835082453629, 34.777250858300405),(32.06838070495498, 34.77725987891567)}","{58,(59.0,41.0)}",{},0
31,"{(32.06998113072358, 34.77261672790211),(32.07000954202496, 34.77262343342465),(32.07001749718846, 34.77259124691647),(32.06998908588953, 34.772583200289425)}","{47,(48.0,49.0)}",{},0
32,"{(32.06947127119189, 34.772416993166416),(32.069443405253224, 34.77241105938696),(32.06943545003993, 34.772443245895154),(32.0694638842109, 34.772450520779095)}","{50,(51.0)},{49,(51.0)}",{},0
